entry1	entry2	type
00010_69	00010_71	ECrel
00010_69	00010_70	ECrel
00010_69	00010_72	ECrel
00010_66	00010_69	ECrel
00010_65	00010_69	ECrel
00010_64	00010_66	ECrel
00010_64	00010_65	ECrel
00010_62	00010_72	ECrel
00010_67	00010_72	ECrel
00010_63	00010_72	ECrel
00010_62	00010_71	ECrel
00010_62	00010_70	ECrel
00010_62	00010_63	ECrel
00010_67	00010_71	ECrel
00010_63	00010_71	ECrel
00010_67	00010_70	ECrel
00010_63	00010_70	ECrel
00010_63	00010_67	ECrel
00010_60	00010_62	ECrel
00010_59	00010_62	ECrel
00010_13	00010_60	ECrel
00010_13	00010_59	ECrel
00010_58	00010_13	ECrel
00010_56	00010_77	ECrel
00010_55	00010_77	ECrel
00010_54	00010_55	ECrel
00010_48	00010_49	ECrel
00010_48	00010_76	ECrel
00010_49	00010_76	ECrel
00010_37	00010_45	ECrel
00010_39	00010_45	ECrel
00010_37	00010_44	ECrel
00010_39	00010_44	ECrel
00010_52	00010_54	ECrel
00010_60	00010_64	ECrel
00010_59	00010_64	ECrel
00010_50	00010_52	ECrel
00010_47	00010_52	ECrel
00010_47	00010_50	ECrel
00010_66	00010_67	ECrel
00010_65	00010_67	ECrel
00010_63	00010_42	maplink
00010_63	00010_41	maplink
00010_62	00010_41	maplink
00010_72	00010_41	maplink
00010_71	00010_41	maplink
00010_70	00010_41	maplink
00010_67	00010_41	maplink
00010_49	00010_53	maplink
00010_77	00010_130	ECrel
00010_56	00010_130	ECrel
00010_129	00010_77	ECrel
00010_129	00010_55	ECrel
00010_113	00010_54	ECrel
00010_113	00010_52	ECrel
00010_50	00010_119	maplink
00010_129	00010_57	maplink
00010_77	00010_57	maplink
00010_55	00010_57	maplink
00010_53	00010_113	maplink
00010_55	00010_41	maplink
00010_54	00010_41	maplink
00010_47	00010_41	maplink
00010_50	00010_41	maplink
00010_52	00010_41	maplink
00010_58	00010_56	ECrel
00010_13	00010_58	ECrel
00010_13	00010_56	ECrel
00010_13	00010_41	maplink
00010_41	00010_56	maplink
00010_41	00010_58	maplink
00010_130	00010_129	ECrel
00010_132	00010_37	ECrel
00010_132	00010_39	ECrel
00010_132	00010_49	ECrel
00010_132	00010_53	maplink
00010_135	00010_64	ECrel
00010_135	00010_67	ECrel
00010_69	00010_134	ECrel
00010_69	00010_135	ECrel
00010_134	00010_67	ECrel
00010_134	00010_62	ECrel
00010_134	00010_41	maplink
00010_134	00010_63	ECrel
00020_77	00020_44	ECrel
00020_77	00020_46	maplink
00020_44	00020_46	maplink
00020_47	00020_48	maplink
00020_47	00020_87	maplink
00020_47	00020_49	maplink
00020_47	00020_84	maplink
00020_47	00020_42	maplink
00020_47	00020_38	maplink
00020_48	00020_87	maplink
00020_48	00020_49	maplink
00020_48	00020_84	maplink
00020_48	00020_42	maplink
00020_48	00020_38	maplink
00020_87	00020_49	maplink
00020_87	00020_84	maplink
00020_87	00020_42	maplink
00020_87	00020_38	maplink
00020_49	00020_84	maplink
00020_49	00020_42	maplink
00020_49	00020_38	maplink
00020_84	00020_42	ECrel
00020_84	00020_38	ECrel
00020_45	00020_55	maplink
00020_45	00020_43	maplink
00020_45	00020_38	maplink
00020_45	00020_42	maplink
00020_45	00020_44	maplink
00020_45	00020_92	maplink
00020_55	00020_43	maplink
00020_55	00020_38	maplink
00020_55	00020_42	maplink
00020_55	00020_44	maplink
00020_55	00020_92	maplink
00020_43	00020_38	ECrel
00020_43	00020_42	ECrel
00020_43	00020_44	ECrel
00020_43	00020_92	ECrel
00020_38	00020_44	ECrel
00020_38	00020_92	ECrel
00020_42	00020_44	ECrel
00020_42	00020_92	ECrel
00020_44	00020_92	ECrel
00020_43	00020_39	ECrel
00020_39	00020_53	maplink
00020_39	00020_56	maplink
00020_39	00020_97	ECrel
00020_53	00020_56	maplink
00020_53	00020_97	maplink
00020_56	00020_97	maplink
00020_97	00020_34	ECrel
00020_97	00020_33	ECrel
00020_34	00020_54	maplink
00020_34	00020_32	ECrel
00020_33	00020_54	maplink
00020_33	00020_32	ECrel
00020_54	00020_32	maplink
00020_32	00020_31	ECrel
00020_32	00020_29	ECrel
00020_29	00020_31	ECrel
00020_30	00020_57	maplink
00020_30	00020_51	maplink
00020_30	00020_50	maplink
00020_30	00020_36	ECrel
00020_30	00020_35	ECrel
00020_57	00020_51	maplink
00020_57	00020_50	maplink
00020_57	00020_36	maplink
00020_57	00020_35	maplink
00020_51	00020_50	maplink
00020_51	00020_36	maplink
00020_51	00020_35	maplink
00020_50	00020_36	maplink
00020_50	00020_35	maplink
00020_36	00020_35	ECrel
00020_40	00020_37	ECrel
00020_40	00020_36	ECrel
00020_37	00020_36	ECrel
00020_42	00020_41	ECrel
00020_38	00020_41	ECrel
00020_82	00020_79	ECrel
00020_79	00020_77	ECrel
00020_84	00020_79	ECrel
00020_82	00020_84	ECrel
00020_92	00020_46	maplink
00030_56	00030_57	ECrel
00030_57	00030_58	ECrel
00030_37	00030_58	ECrel
00030_48	00030_56	ECrel
00030_47	00030_56	ECrel
00030_47	00030_48	ECrel
00030_46	00030_47	ECrel
00030_45	00030_47	ECrel
00030_44	00030_47	ECrel
00030_47	00030_78	ECrel
00030_43	00030_47	ECrel
00030_45	00030_46	ECrel
00030_44	00030_46	ECrel
00030_46	00030_78	ECrel
00030_43	00030_46	ECrel
00030_44	00030_45	ECrel
00030_45	00030_78	ECrel
00030_43	00030_45	ECrel
00030_43	00030_44	ECrel
00030_43	00030_78	ECrel
00030_46	00030_77	ECrel
00030_49	00030_77	ECrel
00030_49	00030_53	ECrel
00030_51	00030_53	ECrel
00030_52	00030_53	ECrel
00030_49	00030_51	ECrel
00030_49	00030_52	ECrel
00030_50	00030_51	ECrel
00030_50	00030_52	ECrel
00030_49	00030_50	ECrel
00030_42	00030_50	ECrel
00030_42	00030_49	ECrel
00030_40	00030_42	ECrel
00030_41	00030_42	ECrel
00030_40	00030_41	ECrel
00030_37	00030_69	maplink
00030_53	00030_69	maplink
00030_43	00030_71	maplink
00030_43	00030_74	maplink
00030_43	00030_73	maplink
00030_71	00030_74	maplink
00030_71	00030_73	maplink
00030_73	00030_74	maplink
00030_50	00030_69	maplink
00030_49	00030_69	maplink
00030_42	00030_69	maplink
00030_52	00030_77	ECrel
00030_51	00030_77	ECrel
00030_49	00030_77	ECrel
00030_53	00030_77	ECrel
00030_49	00030_48	ECrel
00030_48	00030_46	ECrel
00030_50	00030_46	ECrel
00030_50	00030_77	ECrel
00030_42	00030_46	ECrel
00030_42	00030_77	ECrel
00030_69	00030_46	maplink
00030_69	00030_77	maplink
00030_46	00030_77	ECrel
00030_77	00030_49	ECrel
00030_57	00030_97	ECrel
00030_97	00030_56	ECrel
00030_37	00030_97	ECrel
00030_58	00030_97	ECrel
00030_56	00030_70	maplink
00030_48	00030_70	maplink
00030_47	00030_70	maplink
00030_58	00030_69	maplink
00040_63	00040_93	ECrel
00040_93	00040_94	ECrel
00040_92	00040_94	ECrel
00040_70	00040_76	ECrel
00040_87	00040_88	ECrel
00040_63	00040_105	maplink
00040_63	00040_106	maplink
